STATION,LATITUDE,LONGITUDE
82 ST-JACKSON H,40.75769409999999,-73.8857407
46 ST BLISS ST,40.7430691,-73.91824030000001
PAVONIA/NEWPORT,40.7269336,-74.0338208
15 ST-PROSPECT,40.6604292,-73.9797224
AVENUE H,40.6317551,-73.94604819999999
2 AV,40.7641964,-73.9617361
137 ST CITY COL,40.821374,-73.95440099999999
5 AVE,40.7744146,-73.9656177
81 ST-MUSEUM,40.7813241,-73.9739882
CHRISTOPHER ST,40.7333364,-74.0046241
TREMONT AV,40.8410341,-73.8644818
UTICA AV,40.6463192,-73.9297471
103 ST-CORONA,40.7487057,-73.86288449999999
BLEECKER ST,40.7288134,-74.00043099999999
LAFAYETTE AV,40.6897752,-73.9522996
SHEEPSHEAD BAY,40.5953955,-73.94575379999999
PARSONS BLVD,40.7216453,-73.80958869999999
BROADWAY,40.8127871,-73.9602666
MOSHOLU PKWY,40.882138,-73.886201
3 AV-149 ST,40.8160451,-73.9179347
EAST BROADWAY,40.7140636,-73.9901951
90 ST-ELMHURST,40.7381275,-73.8735688
61 ST WOODSIDE,40.7467252,-73.9028967
CITY HALL,40.7127744,-74.006059
75 AV,40.7189773,-73.8372864
BAY PKWY,40.6096878,-73.9857633
14TH STREET,40.7313474,-73.9825664
STEINWAY ST,40.7670158,-73.91246749999999
174-175 STS,40.846524,-73.9097269
1 AV,40.763368,-73.95924
NEWARK HW BMEBE,40.6895314,-74.1744624
THIRTY ST,40.7504079,-73.9970393
PELHAM PKWY,40.8553279,-73.8639594
SUTPHIN BLVD,40.69040510000001,-73.7971551
67 AV,40.7241276,-73.8556133
HUNTS POINT AV,40.8151609,-73.8864169
53 ST,40.7641748,-73.9847444
OZONE PK LEFFRT,40.6859188,-73.8257938
155 ST,40.8309147,-73.9414249
163 ST-AMSTERDM,40.83562850000001,-73.9398925
GUN HILL RD,40.8832545,-73.8844113
69 ST,40.767812,-73.962014
NORWOOD 205 ST,40.8741411,-73.8775224
GREENPOINT AV,40.7346105,-73.9373983
33 ST-RAWSON ST,40.7445586,-73.9312333
BAY RIDGE AV,40.626361,-74.008299
FRESH POND RD,40.7109888,-73.8997102
BRIARWOOD,40.7109315,-73.81356099999999
AVENUE M,40.6199164,-73.9426687
NORTHERN BLVD,40.7653893,-73.81774709999999
NEWKIRK AV,40.6377583,-73.9587126
ASTORIA DITMARS,40.7761474,-73.9107283
18 ST,40.7417321,-73.9994562
INWOOD-207 ST,40.8676635,-73.9212009
157 ST,40.8335122,-73.94355689999999
PELHAM BAY PARK,40.8529308,-73.8270555
BROADWAY JCT,40.6789137,-73.9039
TWENTY THIRD ST,40.7429038,-73.9928041
WEST FARMS SQ,40.8414408,-73.880808
BAY RIDGE-95 ST,40.6167174,-74.0308527
HEWES ST,40.7045288,-73.95624579999999
ROCKAWAY BLVD,40.6743114,-73.80136929999999
VAN SICLEN AV,40.6620465,-73.8867751
PARK PLACE,40.7134029,-74.0095517
DYCKMAN ST,40.8645387,-73.9266358
CANARSIE-ROCKAW,40.645567,-73.90256409999999
BROOK AV,40.8180132,-73.9132167
FRANKLIN ST,40.7183922,-74.005569
104 ST,40.79979670000001,-73.96730749999999
EUCLID AV,40.6754013,-73.8719033
30 AV,40.7668516,-73.921313
PROSPECT PARK,40.6602037,-73.9689558
QUEENSBORO PLZ,40.7509846,-73.9402762
FREEMAN ST,40.8301555,-73.8926207
HIGH ST,40.7389011,-74.0056796
CENTRAL PK N110,40.79821860000001,-73.95239529999999
110 ST,40.798268,-73.95251429999999
MORGAN AV,40.7160374,-73.93599990000001
NEW LOTS AV,40.6632877,-73.8898367
GRAHAM AV,40.7123777,-73.944034
40 ST LOWERY ST,40.7438729,-73.92423409999999
20 AV,40.7816876,-73.82166810000001
SUTTER AV-RUTLD,40.6649921,-73.92290849999999
W 8 ST-AQUARIUM,40.5742632,-73.9748754
KINGSTON-THROOP,40.6798265,-73.9411294
DITMAS AV,40.6366606,-73.9679811
231 ST,40.88137770000001,-73.9094013
116 ST-COLUMBIA,40.808043,-73.9639122
E 149 ST,40.8149146,-73.9148828
CYPRESS AV,40.8055571,-73.91449879999999
UNION ST,40.679559,-73.98855999999999
36 AV,40.758284,-73.9333667
39 AV,40.7543504,-73.93600649999999
LONGWOOD AV,40.8163783,-73.8962339
25 ST,40.6604039,-73.9981055
52 ST,40.75700519999999,-73.96965999999999
E 143/ST MARY'S,40.8104215,-73.9151849
FAR ROCKAWAY,40.5998931,-73.74484369999999
SIMPSON ST,40.8246744,-73.8929501
207 ST,40.8658136,-73.9199866
149/GRAND CONC,40.8183248,-73.9274121
3 AV,40.8327501,-73.9050863
BURNSIDE AV,40.853736,-73.9123006
CASTLE HILL AV,40.827101,-73.8499052
JACKSON AV,40.8162282,-73.90801350000001
HOYT-SCHER,40.6887905,-73.9851051
TOMPKINSVILLE,40.63259559999999,-74.0872892
NEWKIRK PLAZA,40.635103,-73.962701
174 ST,40.8373589,-73.8876616
WOODLAWN,40.8976347,-73.8668996
BEDFORD-NOSTRAN,40.6898534,-73.9516398
121 ST,40.80797279999999,-73.95387
NECK RD,40.5951531,-73.9550266
OCEAN PKWY,40.61287799999999,-73.96838620000001
JEFFERSON ST,40.702771,-73.9277805
WAKEFIELD/241,40.9035209,-73.8504209
80 ST,40.7744413,-73.9555424
LIVONIA AV,40.6638213,-73.9004534
SARATOGA AV,40.6725024,-73.916862
JAMAICA VAN WK,40.70274089999999,-73.8172514
74 ST-BROADWAY,40.746739,-73.8909986
EASTN PKWY-MUSM,40.6712062,-73.9636306
AVENUE N,40.6193776,-73.9201309
9 AV,40.76921230000001,-73.9847724
71 ST,40.6196212,-73.99877699999999
AQUEDUCT N.COND,40.76756109999999,-73.982463
MYRTLE-WILLOUGH,40.69546709999999,-73.9492203
9TH STREET,40.728578,-73.9858098
MARBLE HILL-225,40.8744921,-73.9095358
AVENUE I,40.6289588,-73.94925309999999
75 ST-ELDERTS,40.69143649999999,-73.8665512
ROOSEVELT ISLND,40.76050310000001,-73.9509934
E 180 ST,40.8470488,-73.886726
21 ST-QNSBRIDGE,40.75417770000001,-73.94247419999999
BUHRE AV,40.84729799999999,-73.8314788
MIDDLETOWN RD,40.8445967,-73.827998
GRAND ARMY PLAZ,40.7646959,-73.9731439
PENNSYLVANIA AV,40.6585561,-73.8905344
3 AV 138 ST,40.8104721,-73.9261391
ZEREGA AV,40.8272948,-73.8436664
176 ST,40.8448971,-73.933244
MYRTLE AV,40.699736,-73.9096327
183 ST,40.8552501,-73.8931492
MT EDEN AV,40.8437629,-73.9132498
45 ST,40.75957160000001,-73.9893629
RALPH AV,40.6349533,-73.9189152
SMITH-9 ST,40.6746048,-73.99703970000002
MORISN AV/SNDVW,40.8266696,-73.8739066
BEVERLY RD,40.70832739999999,-73.8323674
4 AV-9 ST,40.6701803,-73.98929150000001
ELDER AV,40.8260235,-73.8785743
ST LAWRENCE AV,40.832817,-73.867539
EAST 105 ST,40.790896,-73.9451536
WHITLOCK AV,40.8252833,-73.8865873
CLARK ST,40.697888,-73.99460499999999
JUNIUS ST,40.6667479,-73.902236
NEW UTRECHT AV,40.6262341,-73.99697429999999
CENTRAL AV,40.629446,-73.7132101
KNICKERBOCKER,40.7554509,-73.9861416
COURT SQ-23 ST,40.7480508,-73.94704779999999
SENECA AVE,40.703688,-73.909173
EASTCHSTER/DYRE,40.88781220000001,-73.8312971
AQUEDUCT RACETR,40.6721498,-73.8356843
RIT-ROOSEVELT,43.0845894,-77.67434449999999
BOTANIC GARDEN,40.6705738,-73.9581788
NEWARK HM HE,40.7560173,-73.98604879999999
PATH WTC 2,40.7115742,-74.0114485
GRANT AV,40.6830197,-73.8671366
V.CORTLANDT PK,40.8964243,-73.8852842
215 ST,40.8698743,-73.9158534
238 ST,40.884873,-73.9006843
6 AV,40.742903,-73.99279779999999
85 ST-FOREST PK,40.6936766,-73.8594184
191 ST,40.8564198,-73.932621
CORTELYOU RD,40.6441499,-73.9556515
VAN SICLEN AVE,40.6620465,-73.8867751
BEACH 90 ST,40.5870827,-73.81386909999999
RIT-MANHATTAN,40.7127753,-74.0059728
PARKSIDE AV,40.65535510000001,-73.96059679999999
WINTHROP ST,40.657728,-73.9404201
ROCKAWAY PARK B,40.5860224,-73.81662589999999
BEACH 25 ST,40.6001046,-73.76173159999999
BEACH 67 ST,40.5933365,-73.7962659
233 ST,40.8917815,-73.85227809999999
BEACH 60 ST,40.5906545,-73.7895049
BEVERLEY ROAD,40.64507709999999,-73.9499397
BEACH 36 ST,40.595021,-73.768508
GATES AV,40.6885403,-73.9304588
KINGSTON AV,40.6684629,-73.94228410000001
KOSCIUSZKO ST,40.6918106,-73.9409927
BURKE AV,40.8712307,-73.8536384
CHAUNCEY ST,40.6815208,-73.9197243
138/GRAND CONC,40.8132249,-73.9298111
INTERVALE AV,40.8249463,-73.8968519
ATLANTIC AV,40.6763012,-73.9081386
LIBERTY AV,40.6838023,-73.83351789999999
WESTCHESTER SQ,40.8414979,-73.8448469
BRONX PARK EAST,40.8608628,-73.8706322
BEACH 44 ST,40.5956863,-73.7757221
ALLERTON AV,40.8654236,-73.8519532
WILSON AV,40.696274,-73.9179192
YORK ST,40.7210769,-74.0057212
BUSHWICK AV,40.692626,-73.923672
SHEPHERD AV,40.6716076,-73.880183
MONTROSE AV,40.707169,-73.944904
BEACH 98 ST,40.5847199,-73.8196707
STERLING ST,40.6629741,-73.95330539999999
225 ST,40.8744921,-73.9095358
BAYCHESTER AV,40.881653,-73.8389591
219 ST,40.70885699999999,-73.73716499999999
PRESIDENT ST,40.6718918,-73.9708782
CLASSON AV,40.6844907,-73.9591228
NEREID AV,40.89781929999999,-73.8526164
MORRIS PARK,40.850332,-73.8513735
88 ST,40.7794483,-73.9514145
65 ST,40.7653068,-73.9638425
NEW LOTS,40.6632877,-73.8898367
FOREST AVE,40.625596,-74.13501819999999
BROAD CHANNEL,40.6158335,-73.8213213
55 ST,40.7660013,-73.9852045
ALABAMA AV,40.664208,-73.89681949999999
AVENUE P,40.610195,-73.9604433
CRESCENT ST,40.7667525,-73.9259625
25 AV,40.5951909,-73.99005319999999
AVENUE X,40.5921076,-73.95606099999999
NORWOOD AV,40.6834617,-73.8795743
BAY 50 ST,40.5867064,-73.98573379999999
NEPTUNE AV,40.5792604,-73.9819541
BOWERY,40.725257,-73.9903489
HARLEM 148 ST,40.82639169999999,-73.9443799
BEACH 105 ST,40.5821852,-73.8256272
21 ST,40.7379132,-73.9849673
CYPRESS HILLS,40.6836118,-73.8801301
182-183 STS,40.8560934,-73.90102949999999
SUTTER AV,40.6719971,-73.8773983
190 ST,40.8557565,-73.9316556
CLEVELAND ST,40.6710974,-73.8835697
ORCHARD BEACH,40.8672934,-73.7922928
ASTORIA BLVD,40.7657244,-73.8918474
